"index","batch_size","dropout_rate","epochs","loss","model__activation","optimizer","optimizer__learning_rate","result"
"214","16","0.3","15","binary_crossentropy","sigmoid","Adam","0.01","0.8240000009536743"
"215","16","0.3","15","binary_crossentropy","sigmoid","Adam","0.1","0.49000000953674316"
"216","16","0.3","15","binary_crossentropy","sigmoid","Adamax","0.0001","0.8059999942779541"
"217","16","0.3","15","binary_crossentropy","sigmoid","Adamax","0.001","0.8669999837875366"
"218","16","0.3","15","binary_crossentropy","sigmoid","Adamax","0.01","0.8569999933242798"
"219","16","0.3","15","binary_crossentropy","sigmoid","Adamax","0.1","0.746999979019165"
"220","16","0.3","15","binary_crossentropy","sigmoid","Nadam","0.0001","0.8840000033378601"
"221","16","0.3","15","binary_crossentropy","sigmoid","Nadam","0.001","0.8489999771118164"
"222","16","0.3","15","binary_crossentropy","sigmoid","Nadam","0.01","0.8069999814033508"
"223","16","0.3","15","binary_crossentropy","sigmoid","Nadam","0.1","0.4959999918937683"
"224","16","0.3","15","categorical_crossentropy","softmax","Adadelta","0.0001","0.515999972820282"
"225","16","0.3","15","categorical_crossentropy","softmax","Adadelta","0.001","0.6600000262260437"
"226","16","0.3","15","categorical_crossentropy","softmax","Adadelta","0.01","0.5979999899864197"
"227","16","0.3","15","categorical_crossentropy","softmax","Adadelta","0.1","0.8809999823570251"
"228","16","0.3","15","categorical_crossentropy","softmax","Adam","0.0001","0.8849999904632568"
"229","16","0.3","15","categorical_crossentropy","softmax","Adam","0.001","0.8519999980926514"
"230","16","0.3","15","categorical_crossentropy","softmax","Adam","0.01","0.8140000104904175"
"231","16","0.3","15","categorical_crossentropy","softmax","Adam","0.1","0.5059999823570251"
"232","16","0.3","15","categorical_crossentropy","softmax","Adamax","0.0001","0.8100000023841858"
"233","16","0.3","15","categorical_crossentropy","softmax","Adamax","0.001","0.871999979019165"
"234","16","0.3","15","categorical_crossentropy","softmax","Adamax","0.01","0.8659999966621399"
"235","16","0.3","15","categorical_crossentropy","softmax","Adamax","0.1","0.6890000104904175"
"236","16","0.3","15","categorical_crossentropy","softmax","Nadam","0.0001","0.878000020980835"
"237","16","0.3","15","categorical_crossentropy","softmax","Nadam","0.001","0.8610000014305115"
"238","16","0.3","15","categorical_crossentropy","softmax","Nadam","0.01","0.8140000104904175"
"239","16","0.3","15","categorical_crossentropy","softmax","Nadam","0.1","0.4959999918937683"
"240","16","0.3","15","categorical_crossentropy","sigmoid","Adadelta","0.0001","0.5360000133514404"
"241","16","0.3","15","categorical_crossentropy","sigmoid","Adadelta","0.001","0.5419999957084656"
"242","16","0.3","15","categorical_crossentropy","sigmoid","Adadelta","0.01","0.6169999837875366"
"243","16","0.3","15","categorical_crossentropy","sigmoid","Adadelta","0.1","0.8809999823570251"
"244","16","0.3","15","categorical_crossentropy","sigmoid","Adam","0.0001","0.8820000290870667"
"245","16","0.3","15","categorical_crossentropy","sigmoid","Adam","0.001","0.859000027179718"
"246","16","0.3","15","categorical_crossentropy","sigmoid","Adam","0.01","0.7089999914169312"
"247","16","0.3","15","categorical_crossentropy","sigmoid","Adam","0.1","0.49300000071525574"
"248","16","0.3","15","categorical_crossentropy","sigmoid","Adamax","0.0001","0.8199999928474426"
"249","16","0.3","15","categorical_crossentropy","sigmoid","Adamax","0.001","0.8619999885559082"
"250","16","0.3","15","categorical_crossentropy","sigmoid","Adamax","0.01","0.8650000095367432"
"251","16","0.3","15","categorical_crossentropy","sigmoid","Adamax","0.1","0.7120000123977661"
"252","16","0.3","15","categorical_crossentropy","sigmoid","Nadam","0.0001","0.8690000176429749"
"253","16","0.3","15","categorical_crossentropy","sigmoid","Nadam","0.001","0.8679999709129333"
"254","16","0.3","15","categorical_crossentropy","sigmoid","Nadam","0.01","0.7319999933242798"
"255","16","0.3","15","categorical_crossentropy","sigmoid","Nadam","0.1","0.5"
"256","16","0.4","10","binary_crossentropy","softmax","Adadelta","0.0001","0.503000020980835"
"257","16","0.4","10","binary_crossentropy","softmax","Adadelta","0.001","0.5249999761581421"
"258","16","0.4","10","binary_crossentropy","softmax","Adadelta","0.01","0.503000020980835"
"259","16","0.4","10","binary_crossentropy","softmax","Adadelta","0.1","0.7990000247955322"
"260","16","0.4","10","binary_crossentropy","softmax","Adam","0.0001","0.8889999985694885"
"261","16","0.4","10","binary_crossentropy","softmax","Adam","0.001","0.8519999980926514"
"262","16","0.4","10","binary_crossentropy","softmax","Adam","0.01","0.7979999780654907"
"263","16","0.4","10","binary_crossentropy","softmax","Adam","0.1","0.5"
"264","16","0.4","10","binary_crossentropy","softmax","Adamax","0.0001","0.7480000257492065"
"265","16","0.4","10","binary_crossentropy","softmax","Adamax","0.001","0.8849999904632568"
"266","16","0.4","10","binary_crossentropy","softmax","Adamax","0.01","0.8550000190734863"
"267","16","0.4","10","binary_crossentropy","softmax","Adamax","0.1","0.6520000100135803"
"268","16","0.4","10","binary_crossentropy","softmax","Nadam","0.0001","0.8920000195503235"
"269","16","0.4","10","binary_crossentropy","softmax","Nadam","0.001","0.8510000109672546"
"270","16","0.4","10","binary_crossentropy","softmax","Nadam","0.01","0.8169999718666077"
"271","16","0.4","10","binary_crossentropy","softmax","Nadam","0.1","0.4959999918937683"
"272","16","0.4","10","binary_crossentropy","sigmoid","Adadelta","0.0001","0.4860000014305115"
"273","16","0.4","10","binary_crossentropy","sigmoid","Adadelta","0.001","0.550000011920929"
"274","16","0.4","10","binary_crossentropy","sigmoid","Adadelta","0.01","0.5019999742507935"
"275","16","0.4","10","binary_crossentropy","sigmoid","Adadelta","0.1","0.8119999766349792"
"276","16","0.4","10","binary_crossentropy","sigmoid","Adam","0.0001","0.8759999871253967"
"277","16","0.4","10","binary_crossentropy","sigmoid","Adam","0.001","0.8650000095367432"
"278","16","0.4","10","binary_crossentropy","sigmoid","Adam","0.01","0.828000009059906"
"279","16","0.4","10","binary_crossentropy","sigmoid","Adam","0.1","0.5"
"280","16","0.4","10","binary_crossentropy","sigmoid","Adamax","0.0001","0.7429999709129333"
"281","16","0.4","10","binary_crossentropy","sigmoid","Adamax","0.001","0.8730000257492065"
"282","16","0.4","10","binary_crossentropy","sigmoid","Adamax","0.01","0.8709999918937683"
"283","16","0.4","10","binary_crossentropy","sigmoid","Adamax","0.1","0.7039999961853027"
"284","16","0.4","10","binary_crossentropy","sigmoid","Nadam","0.0001","0.890999972820282"
"285","16","0.4","10","binary_crossentropy","sigmoid","Nadam","0.001","0.8510000109672546"
"286","16","0.4","10","binary_crossentropy","sigmoid","Nadam","0.01","0.7850000262260437"
"287","16","0.4","10","binary_crossentropy","sigmoid","Nadam","0.1","0.4959999918937683"
"288","16","0.4","10","categorical_crossentropy","softmax","Adadelta","0.0001","0.4659999907016754"
"289","16","0.4","10","categorical_crossentropy","softmax","Adadelta","0.001","0.5170000195503235"
"290","16","0.4","10","categorical_crossentropy","softmax","Adadelta","0.01","0.5440000295639038"
"291","16","0.4","10","categorical_crossentropy","softmax","Adadelta","0.1","0.8529999852180481"
"292","16","0.4","10","categorical_crossentropy","softmax","Adam","0.0001","0.8799999952316284"
"293","16","0.4","10","categorical_crossentropy","softmax","Adam","0.001","0.8650000095367432"
"294","16","0.4","10","categorical_crossentropy","softmax","Adam","0.01","0.6740000247955322"
"295","16","0.4","10","categorical_crossentropy","softmax","Adam","0.1","0.5040000081062317"
"296","16","0.4","10","categorical_crossentropy","softmax","Adamax","0.0001","0.7720000147819519"
